Date,IncidentsUkraine
1990,297.97
1991,292.57
1992,288.65
1993,286.05
1994,284.62
1995,284.21
1996,286.61
1997,292.31
1998,299.16
1999,305.02
2000,307.74
2001,307.83
2002,307.35
2003,306.52
2004,305.54
2005,304.62
2006,303.14
2007,300.73
2008,298
2009,295.53
2010,293.92
2011,292.66
2012,291.09
2013,289.58
2014,288.48
2015,288.15
2016,303.01
2017,318.11
2018,318.16
2019,314.98
