Date,Incidents
1990-01-01,873
1991-01-01,862
1992-01-01,854
1993-01-01,848
1994-01-01,844
1995-01-01,842
1996-01-01,844
1997-01-01,849
1998-01-01,856
1999-01-01,862
2000-01-01,864
2001-01-01,864
2002-01-01,863
2003-01-01,862
2004-01-01,859
2005-01-01,857
2006-01-01,853
2007-01-01,846
2008-01-01,838
2009-01-01,830
2010-01-01,824
2011-01-01,818
2012-01-01,810
2013-01-01,802
2014-01-01,796
2015-01-01,794
2016-01-01,816
2017-01-01,838
2018-01-01,837
2019-01-01,828
