Date,Incidents
1990,872.67
1991,862.42
1992,854.14
1993,847.84
1994,843.66
1995,841.74
1996,843.54
1997,849.28
1998,856.36
1999,861.81
2000,864.04
2001,864.07
2002,863.27
2003,861.66
2004,859.49
2005,856.93
2006,852.59
2007,845.82
2008,837.93
2009,830.26
2010,824.12
2011,817.83
2012,809.95
2013,802.18
2014,796.24
2015,793.87
2016,815.62
2017,837.94
2018,836.6
2019,827.83
